model_id,model_name,provider,total_supported_fields,fields_populated,fields_missing,coverage_percent,automated_fields,human_curated_fields,derived_fields,stale_fields,conflicting_fields,ranking_eligible,ranking_ineligible_reason,last_updated
openai:gpt-5.6-sol,GPT-5.6 Sol,OpenAI,14,9,5,64.3,9,0,0,0,0,False,missing or stale P0 facts,2026-09-07
openai:gpt-5.6-terra,GPT-5.6 Terra,OpenAI,14,9,5,64.3,9,0,0,0,0,False,missing or stale P0 facts,2026-09-07
openai:gpt-5.6-luna,GPT-5.6 Luna,OpenAI,14,9,5,64.3,9,0,0,0,0,False,missing or stale P0 facts,2026-09-07
anthropic:claude-fable-5,Claude Fable 5,Anthropic,14,7,7,50.0,7,0,0,3,0,False,missing or stale P0 facts,2026-06-09
anthropic:claude-opus-5,Claude Opus 5,Anthropic,14,7,7,50.0,7,0,0,0,0,False,missing or stale P0 facts,2026-07-24
anthropic:claude-sonnet-5,Claude Sonnet 5,Anthropic,14,7,7,50.0,7,0,0,3,0,False,missing or stale P0 facts,2026-06-30
google:gemini-3.8-flash,Gemini 3.8 Flash,Google,14,7,7,50.0,7,0,0,0,0,False,missing or stale P0 facts,2026-09-02
google:gemini-3.7-flash,Gemini 3.7 Flash,Google,14,7,7,50.0,7,0,0,0,0,False,missing or stale P0 facts,2026-08-12
google:gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,Google,14,7,7,50.0,7,0,0,0,0,False,missing or stale P0 facts,2026-08-11
xai:grok-4.6,Grok 4.6,xAI,14,7,7,50.0,7,0,0,0,0,False,missing or stale P0 facts,2026-08-21
xai:grok-4.5,Grok 4.5,xAI,14,7,7,50.0,7,0,0,0,0,False,missing or stale P0 facts,2026-09-02
xai:grok-4.3,Grok 4.3,xAI,14,7,7,50.0,7,0,0,0,0,False,missing or stale P0 facts,2026-09-07
openai:gpt-oss-120b,gpt-oss-120b,OpenAI,14,7,7,50.0,7,0,0,0,0,False,missing or stale P0 facts,2026-09-07
openai:gpt-oss-20b,gpt-oss-20b,OpenAI,14,7,7,50.0,7,0,0,0,0,False,missing or stale P0 facts,2026-09-07
openai:chatgpt-4o,ChatGPT-4o,OpenAI,14,5,9,35.7,5,0,0,0,0,False,missing or stale P0 facts,2026-09-07
meta:llama-4-scout,Llama 4 Scout,Meta,14,7,7,50.0,7,0,0,0,0,False,missing or stale P0 facts,2026-09-07
meta:llama-4-maverick,Llama 4 Maverick,Meta,14,6,8,42.9,6,0,0,0,0,False,missing or stale P0 facts,2026-09-07
deepseek:deepseek-v3,DeepSeek-V3,DeepSeek,14,7,7,50.0,7,0,0,0,0,False,missing or stale P0 facts,2026-09-07
deepseek:deepseek-r1,DeepSeek-R1,DeepSeek,14,7,7,50.0,7,0,0,0,0,False,missing or stale P0 facts,2026-09-07
mistral:mistral-medium-3-5,Mistral Medium 3.5,Mistral,14,5,9,35.7,5,0,0,0,0,False,missing or stale P0 facts,2026-09-07
mistral:mistral-small-4,Mistral Small 4,Mistral,14,4,10,28.6,4,0,0,0,0,False,missing or stale P0 facts,2026-09-07
mistral:mistral-large-3,Mistral Large 3,Mistral,14,4,10,28.6,4,0,0,0,0,False,missing or stale P0 facts,2026-09-07
mistral:ministral-3-3b,Ministral 3 3B,Mistral,14,5,9,35.7,5,0,0,0,0,False,missing or stale P0 facts,2026-09-07
qwen:qwen3-235b-a22b,Qwen3-235B-A22B,Qwen / Alibaba,14,7,7,50.0,7,0,0,0,0,False,missing or stale P0 facts,2026-09-07
qwen:qwen3-30b-a3b,Qwen3-30B-A3B,Qwen / Alibaba,14,7,7,50.0,7,0,0,0,0,False,missing or stale P0 facts,2026-09-07
qwen:qwen3-8b,Qwen3-8B,Qwen / Alibaba,14,7,7,50.0,7,0,0,0,0,False,missing or stale P0 facts,2026-09-07
qwen:qwen3-0-6b,Qwen3-0.6B,Qwen / Alibaba,14,7,7,50.0,7,0,0,0,0,False,missing or stale P0 facts,2026-09-07
cohere:command-a-plus-05-2026,Command A+,Cohere,14,4,10,28.6,4,0,0,0,0,False,missing or stale P0 facts,2026-09-07
cohere:command-a-03-2025,Command A,Cohere,14,7,7,50.0,7,0,0,0,0,False,missing or stale P0 facts,2026-09-07
cohere:command-r7b-12-2024,Command R7B,Cohere,14,4,10,28.6,4,0,0,0,0,False,missing or stale P0 facts,2026-09-07
microsoft:phi-4,Phi-4,Microsoft,14,7,7,50.0,7,0,0,0,0,False,missing or stale P0 facts,2026-09-07
microsoft:phi-4-mini-instruct,Phi-4-mini-instruct,Microsoft,14,7,7,50.0,7,0,0,0,0,False,missing or stale P0 facts,2026-09-07
microsoft:phi-4-multimodal-instruct,Phi-4-multimodal-instruct,Microsoft,14,7,7,50.0,7,0,0,0,0,False,missing or stale P0 facts,2026-09-07
nvidia:nemotron-3-5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B,NVIDIA,14,5,9,35.7,5,0,0,0,0,False,missing or stale P0 facts,2026-09-07
nvidia:llama-3-1-nemotron-nano-8b-v1,Llama 3.1 Nemotron Nano 8B v1,NVIDIA,14,5,9,35.7,5,0,0,0,0,False,missing or stale P0 facts,2026-09-07
amazon:nova-2-lite,Amazon Nova 2 Lite,Amazon,14,4,10,28.6,4,0,0,0,0,False,missing or stale P0 facts,2026-09-07
amazon:nova-premier,Amazon Nova Premier,Amazon,14,5,9,35.7,5,0,0,0,0,False,missing or stale P0 facts,2026-09-07
amazon:nova-micro,Amazon Nova Micro,Amazon,14,5,9,35.7,5,0,0,0,0,False,missing or stale P0 facts,2026-09-07
moonshot:kimi-k2-6,Kimi K2.6,Moonshot / Kimi,14,5,9,35.7,5,0,0,0,0,False,missing or stale P0 facts,2026-09-07
moonshot:kimi-k2-5,Kimi K2.5,Moonshot / Kimi,14,5,9,35.7,5,0,0,0,0,False,missing or stale P0 facts,2026-09-07
minimax:minimax-m2-7,MiniMax M2.7,MiniMax,14,7,7,50.0,7,0,0,0,0,False,missing or stale P0 facts,2026-09-07
minimax:minimax-m2-5,MiniMax M2.5,MiniMax,14,4,10,28.6,4,0,0,0,0,False,missing or stale P0 facts,2026-09-07
zhipu:glm-4-5,GLM-4.5,Zhipu / GLM,14,7,7,50.0,7,0,0,0,0,False,missing or stale P0 facts,2026-09-07
zhipu:glm-4-5v,GLM-4.5V,Zhipu / GLM,14,5,9,35.7,5,0,0,0,0,False,missing or stale P0 facts,2026-09-07
