model_id,model_name,provider,field_id,field_name,automation_status,current_value,current_source,missing_or_stale,suggested_source_type,priority,notes
openai:gpt-5.6-sol,GPT-5.6 Sol,OpenAI,coding_score,Coding score,PARTIALLY_AUTOMATED,,,MISSING,benchmark_provider,P0,
openai:gpt-5.6-sol,GPT-5.6 Sol,OpenAI,latency_seconds,Latency,PARTIALLY_AUTOMATED,,,MISSING,benchmark_provider,P0,
openai:gpt-5.6-sol,GPT-5.6 Sol,OpenAI,tokens_per_second,Throughput,PARTIALLY_AUTOMATED,,,MISSING,benchmark_provider,P0,
openai:gpt-5.6-terra,GPT-5.6 Terra,OpenAI,coding_score,Coding score,PARTIALLY_AUTOMATED,,,MISSING,benchmark_provider,P0,
openai:gpt-5.6-terra,GPT-5.6 Terra,OpenAI,latency_seconds,Latency,PARTIALLY_AUTOMATED,,,MISSING,benchmark_provider,P0,
openai:gpt-5.6-terra,GPT-5.6 Terra,OpenAI,tokens_per_second,Throughput,PARTIALLY_AUTOMATED,,,MISSING,benchmark_provider,P0,
openai:gpt-5.6-luna,GPT-5.6 Luna,OpenAI,coding_score,Coding score,PARTIALLY_AUTOMATED,,,MISSING,benchmark_provider,P0,
openai:gpt-5.6-luna,GPT-5.6 Luna,OpenAI,latency_seconds,Latency,PARTIALLY_AUTOMATED,,,MISSING,benchmark_provider,P0,
openai:gpt-5.6-luna,GPT-5.6 Luna,OpenAI,tokens_per_second,Throughput,PARTIALLY_AUTOMATED,,,MISSING,benchmark_provider,P0,
anthropic:claude-fable-5,Claude Fable 5,Anthropic,coding_score,Coding score,PARTIALLY_AUTOMATED,,,MISSING,benchmark_provider,P0,
anthropic:claude-fable-5,Claude Fable 5,Anthropic,intelligence_score,Intelligence score,PARTIALLY_AUTOMATED,,,MISSING,benchmark_provider,P0,
anthropic:claude-fable-5,Claude Fable 5,Anthropic,latency_seconds,Latency,PARTIALLY_AUTOMATED,,,MISSING,benchmark_provider,P0,
anthropic:claude-fable-5,Claude Fable 5,Anthropic,reasoning_score,Reasoning score,PARTIALLY_AUTOMATED,,,MISSING,benchmark_provider,P0,
anthropic:claude-fable-5,Claude Fable 5,Anthropic,tokens_per_second,Throughput,PARTIALLY_AUTOMATED,,,MISSING,benchmark_provider,P0,
anthropic:claude-opus-5,Claude Opus 5,Anthropic,coding_score,Coding score,PARTIALLY_AUTOMATED,,,MISSING,benchmark_provider,P0,
anthropic:claude-opus-5,Claude Opus 5,Anthropic,intelligence_score,Intelligence score,PARTIALLY_AUTOMATED,,,MISSING,benchmark_provider,P0,
anthropic:claude-opus-5,Claude Opus 5,Anthropic,latency_seconds,Latency,PARTIALLY_AUTOMATED,,,MISSING,benchmark_provider,P0,
anthropic:claude-opus-5,Claude Opus 5,Anthropic,reasoning_score,Reasoning score,PARTIALLY_AUTOMATED,,,MISSING,benchmark_provider,P0,
anthropic:claude-opus-5,Claude Opus 5,Anthropic,tokens_per_second,Throughput,PARTIALLY_AUTOMATED,,,MISSING,benchmark_provider,P0,
anthropic:claude-sonnet-5,Claude Sonnet 5,Anthropic,coding_score,Coding score,PARTIALLY_AUTOMATED,,,MISSING,benchmark_provider,P0,
anthropic:claude-sonnet-5,Claude Sonnet 5,Anthropic,intelligence_score,Intelligence score,PARTIALLY_AUTOMATED,,,MISSING,benchmark_provider,P0,
